filename,cleaned_sentence,unvowel_sentence
Our-Benchmark.csv,تَقُولُ آنْ فَادِيمَانْ فِي مُقَدِّمَةِ كِتَابِهَا «مِنْ كُتُبِي: اعْتِرَافَاتُ قَارِئَةٍ عَادِيَّةٍ» أَنَّ الْكُتُبَ، حَتَّى تِلْكَ الَّتِي نُشِرَتْ قَبْلَ وِلَادَتِنَا، لَا تَشِيخُ، بَلْ تَظَلُّ شَاهِدَةً عَلَى مُرُورِ الزَّمَنِ، تُذَكِّرُنَا بِالْأَوْقَاتِ الَّتِي قَرَأْنَاهَا فِيهَا أَوْ أَعَدْنَا قِرَاءَتَهَا، تَقِفُ أَمَامَنَا كَمِرْآةٍ تَعْكِسُ عُقُودًا مَضَتْ؛ هَكَذَا أَنْظُرُ إِلَى مَكْتَبَتِي، كَمَا يَنْظُرُ الرَّفِيقُ إِلَى رَفِيقِهِ، ,تقول آن فاديمان في مقدمة كتابها «من كتبي: اعترافات قارئة عادية» أن الكتب، حتى تلك التي نشرت قبل ولادتنا، لا تشيخ، بل تظل شاهدة على مرور الزمن، تذكرنا بالأوقات التي قرأناها فيها أو أعدنا قراءتها، تقف أمامنا كمرآة تعكس عقودا مضت؛ هكذا أنظر إلى مكتبتي، كما ينظر الرفيق إلى رفيقه، 
Our-Benchmark.csv,وَالتِّلْمِيذُ إِلَى مُعَلِّمِهِ. تِلْكَ الْكُتُبُ الْمُتَرَاكِمَةُ عَلَى الْأَرْفُفِ وَفَوْقَ الْكَنَبَةِ، وَعَلَى أَسْطُحِ الْمَطْبَخِ وَالرَّدْهَةِ، فُصُولٌ تَحْكِي سَنَوَاتٍ مِنْ أَعْمَارِنَا وَتَجَارِبِنَا. فِي صَيْفِ عَامِ 2006، تَزَوَّجْتُ، لَمْ يَكُنْ زَوْجِي مِنْ مُحِبِّي الْقِرَاءَةِ، لِأَنَّهُ يَعْتَقِدُ أَنَّ الْمَعْرِفَةَ لَهَا مَصَادِرُ شَتَّى غَيْرُ الْكُتُبِ، لَمْ يَكُنْ هَذَا نَقْصًا فِيهِ، بَلْ عَلَى الْعَكْسِ، ,والتلميذ إلى معلمه. تلك الكتب المتراكمة على الأرفف وفوق الكنبة، وعلى أسطح المطبخ والردهة، فصول تحكي سنوات من أعمارنا وتجاربنا. في صيف عام 2006، تزوجت، لم يكن زوجي من محبي القراءة، لأنه يعتقد أن المعرفة لها مصادر شتى غير الكتب، لم يكن هذا نقصا فيه، بل على العكس، 
Our-Benchmark.csv,فَقَدْ أَضَافَ إِلَى مَعْرِفَتِي مَا كُنْتُ أَفْتَقِدُهُ مِنْ تَجَارِبَ عِلْمِيَّةٍ فِي مَجَالَاتِ الْفِيزِيَاءِ وَالْبِيُولُوجِيَا وَغَيْرِهَا، وَهِيَ جَوَانِبُ لَمْ أَكُنْ أَهْتَمُّ بِهَا مِنْ قَبْلُ. عَلَاقَتُنَا أَوْجَدَتْ بَيْنَنَا لُغَةً مَعْرِفِيَّةً مُشْتَرَكَةً تَجْمَعُ بَيْنَ الْأَدَبِ وَالْعِلْمِ؛ مِمَّا أَثْرَى نِقَاشَاتِنَا الَّتِي غَالِبًا مَا تَنْتَهِي بِأَنْ يَعُودَ كُلٌّ مِنَّا إِلَى عَالَمِهِ، أَنَا إِلَى مَكْتَبَتِي وَهُوَ إِلَى وَرْشَتِهِ وَمُخْتَبَرِهِ. وَهَكَذَا، ,فقد أضاف إلى معرفتي ما كنت أفتقده من تجارب علمية في مجالات الفيزياء والبيولوجيا وغيرها، وهي جوانب لم أكن أهتم بها من قبل. علاقتنا أوجدت بيننا لغة معرفية مشتركة تجمع بين الأدب والعلم؛ مما أثرى نقاشاتنا التي غالبا ما تنتهي بأن يعود كل منا إلى عالمه، أنا إلى مكتبتي وهو إلى ورشته ومختبره. وهكذا، 
Our-Benchmark.csv,وَبَعْدَ سَنَوَاتٍ طَوِيلَةٍ، وَطَّدَتِ اهْتِمَامَاتُنَا الْمُتَنَافِرَةُ عَلَاقَتَنَا، لَكِنَّهَا فِي ذَاتِ الْوَقْتِ خَلَقَتْ مُشْكِلَاتٍ مُرْتَبِطَةً بِالْمِسَاحَةِ. قَبْلَ زَوَاجِنَا، وَبَعْدَ أَنْ رَتَّبْنَا أُمُورَنَا الْعَاطِفِيَّةَ جَلَسْنَا نُنَاقِشُ شُرُوطَ الِالْتِزَامِ، نَعَمْ، أَنَا مِمَّنْ يَرَوْنَ أَنَّ الزَّوَاجَ عَقْدُ الْتِزَامَاتٍ، وَهَذَا لَا يَنْفِي جَانِبَهُ الْعَاطِفِيَّ. وَدُونَ أَنْ أُدْخِلَكُمْ فِي مَتَاهَةِ عَالَمِ الْمُتَزَوِّجِينَ، سَأَكْتَفِي بِذِكْرِ الشَّرْطِ الْأَهَمِّ الَّذِي وَضَعْتُهُ عَلَى رَأْسِ الْقَائِمَةِ، ,وبعد سنوات طويلة، وطدت اهتماماتنا المتنافرة علاقتنا، لكنها في ذات الوقت خلقت مشكلات مرتبطة بالمساحة. قبل زواجنا، وبعد أن رتبنا أمورنا العاطفية جلسنا نناقش شروط الالتزام، نعم، أنا ممن يرون أن الزواج عقد التزامات، وهذا لا ينفي جانبه العاطفي. ودون أن أدخلكم في متاهة عالم المتزوجين، سأكتفي بذكر الشرط الأهم الذي وضعته على رأس القائمة، 
Our-Benchmark.csv,وَهُوَ الشَّرْطُ الَّذِي أَثَارَ ضَحِكَ زَوْجِي وَأُسْرَتِي وَأَصْدِقَائِي: أَنْ تَسْبِقَنِي مَكْتَبَتِي إِلَى عُشِّ الزَّوْجِيَّةِ وَأَنْ تَتَصَدَّرَ أَفْضَلَ مَكَانٍ فِيهِ. وَافَقَ زَوْجِي، وَبَدَا مُبْتَسِمًا وَمُتَحَمِّسًا فِي نَقْلِ صَنَادِيقِ الْكُتُبِ مِنْ شَقَّتِي إِلَى شَقَّتِنَا، مُتَحَمِّلًا عَنَاءَ النَّقْلِ وَتَبِعَاتِهِ، وَسَاعَدَهُ فِي ذَلِكَ أَنَّنَا نَسْكُنُ الطَّابِقَ الْأَوَّلَ. مَا زِلْتُ أَذْكُرُ الْفَوْضَى الَّتِي أَحْدَثَتْهَا الصَّنَادِيقُ أَمَامَ بَابِ الْعِمَارَةِ، ,وهو الشرط الذي أثار ضحك زوجي وأسرتي وأصدقائي: أن تسبقني مكتبتي إلى عش الزوجية وأن تتصدر أفضل مكان فيه. وافق زوجي، وبدا مبتسما ومتحمسا في نقل صناديق الكتب من شقتي إلى شقتنا، متحملا عناء النقل وتبعاته، وساعده في ذلك أننا نسكن الطابق الأول. ما زلت أذكر الفوضى التي أحدثتها الصناديق أمام باب العمارة، 
Our-Benchmark.csv,"مِمَّا أَزْعَجَ الْجِيرَانَ الَّذِينَ اسْتَغْرَبُوا أَنْ يَقْرَأَ زَوْجِي كُلَّ هَذِهِ الْكُتُبِ، زَادَ اسْتِغْرَابُهُمْ وَارْتَفَعَتْ حَوَاجِبُهُمْ عَالِيًا حِينَ أَجَابَهُمْ بِفَخْرٍ مُبَالَغٍ فِيهِ مُشِيرًا إِلَيَّ: «بَلْ هِيَ ""الْمَدَامْ"" مَنْ تَقْرَأُ كُلَّ هَذِهِ الْكُتُبِ.» لَمْ أَكُنْ مُسْتَعِدَّةً وَلَمْ أَرْغَبْ بَعْدَ أَنْ نُودِيتُ بِ «","مما أزعج الجيران الذين استغربوا أن يقرأ زوجي كل هذه الكتب، زاد استغرابهم وارتفعت حواجبهم عاليا حين أجابهم بفخر مبالغ فيه مشيرا إلي: «بل هي ""المدام"" من تقرأ كل هذه الكتب.» لم أكن مستعدة ولم أرغب بعد أن نوديت ب «"
Our-Benchmark.csv,الْمَدَامْ» أَنْ تَكُونَ الْكُتُبُ أَوَّلَ مَعْرِفَتِي بِالْجِيرَانِ فَهَذَا التَّعَارُفُ أَحْدَثَ فَجْوَةً بَقِيَتْ عَالِقَةً بَيْنِي وَبَيْنَهُمْ لِسَبَبٍ أَجْهَلُهُ. مِنَ الْغَرِيبِ لِلْغَايَةِ كَيْفَ نَمِيلُ إِلَى اعْتِبَارِ أُمُورِنَا الْخَاصَّةِ هِيَ الْأَهَمُّ وَالْأَكْثَرُ اسْتِحْقَاقًا لِلْحِمَايَةِ، دُونَ أَنْ نُدْرِكَ أَنَّ الْآخَرِينَ يَشْعُرُونَ بِالشَّيْءِ نَفْسِهِ تِجَاهَ أُمُورِهِمْ. ,المدام» أن تكون الكتب أول معرفتي بالجيران فهذا التعارف أحدث فجوة بقيت عالقة بيني وبينهم لسبب أجهله. من الغريب للغاية كيف نميل إلى اعتبار أمورنا الخاصة هي الأهم والأكثر استحقاقا للحماية، دون أن ندرك أن الآخرين يشعرون بالشيء نفسه تجاه أمورهم. 
Our-Benchmark.csv,كُنْتُ حَرِيصَةً عَلَى حِمَايَةِ مَكْتَبَتِي وَمِسَاحَتِهَا الَّتِي اتَّسَعَتْ مَعَ تَزَايُدِ الْكُتُبِ، دُونَ أَنْ أُفَكِّرَ بِأَنَّ زَوْجِي أَيْضًا يَسْعَى إِلَى حِمَايَةِ مِسَاحَتِهِ. بَعْدَ سَنَتَيْنِ مِنَ الزَّوَاجِ، أَنْجَبْنَا طِفْلَتَنَا الْأُولَى الَّتِي كَانَتْ تَحْبُو بَيْنَ مَكْتَبَتِي وَمَكْتَبِ وَالِدِهَا الْمَلِيءِ بِالْأَدَوَاتِ، بَدَأْتُ أُدْرِكُ أَنَّ هُنَاكَ عَالَمًا ثَالِثًا يَتَشَكَّلُ بَيْنِي وَبَيْنَ زَوْجِي، يَلْتَهِمُ الْمِسَاحَةَ الْمُتَبَقِّيَةَ مِنَ الشَّقَّةِ، ,كنت حريصة على حماية مكتبتي ومساحتها التي اتسعت مع تزايد الكتب، دون أن أفكر بأن زوجي أيضا يسعى إلى حماية مساحته. بعد سنتين من الزواج، أنجبنا طفلتنا الأولى التي كانت تحبو بين مكتبتي ومكتب والدها المليء بالأدوات، بدأت أدرك أن هناك عالما ثالثا يتشكل بيني وبين زوجي، يلتهم المساحة المتبقية من الشقة، 
Our-Benchmark.csv,بَدَأْتُ أَشْعُرُ بِالضِّيقِ مِنْ أَغْرَاضِهِ الْمُنْتَشِرَةِ بِكُلِّ مَكَانٍ دُونَ أَنْ أُفَكِّرَ أَنَّ كُتُبِي غَلَبَتْ فَوْضَاهُ. وَرُبَّمَا شَمِلَ تَمَلُّلِي أَيْضًا أَغْرَاضَ الطِّفْلَةِ الَّتِي لَا تُمَيِّزُ بَيْنَ عَالَمِي الَّذِي أَرَاهُ مُنَظَّمًا وَعَالَمِ وَالِدِهَا، وَزَادَ الْأَمْرُ سُوءًا عِنْدَ إِصَابَتِي بِاكْتِئَابِ مَا بَعْدَ الْوِلَادَةِ، وَبَعْدَ أَنْ عَانَيْتُ مِنْ زِيَادَةٍ فِي الْوَزْنِ مُفْرِطَةٍ، ,بدأت أشعر بالضيق من أغراضه المنتشرة بكل مكان دون أن أفكر أن كتبي غلبت فوضاه. وربما شمل تمللي أيضا أغراض الطفلة التي لا تميز بين عالمي الذي أراه منظما وعالم والدها، وزاد الأمر سوءا عند إصابتي باكتئاب ما بعد الولادة، وبعد أن عانيت من زيادة في الوزن مفرطة، 
Our-Benchmark.csv,حَيْثُ شَعَرْتُ أَنَّ كُلَّ الْمِسَاحَاتِ الْفَارِغَةِ فِي شَقَّتِي امْتَلَأَتْ بِالْكُتُبِ وَبِالْأَسْلَاكِ وَبِوَزْنِي وَبِصُرَاخِ الطِّفْلَةِ. وَلِأَنَّنِي لَمْ أَكُنْ فِي حَالٍ يُسَاعِدُنِي عَلَى التَّفْكِيرِ فِي حَلٍّ، اسْتَمَرَّ الْوَضْعُ لِسَنَوَاتٍ، وَازْدَادَتِ الْمِسَاحَةُ ضِيقًا مَعَ وِلَادَةِ الطِّفْلِ الثَّانِي، وَحِينَ أُصِيبَتْ رِئَةُ الْعَالَمِ بِوَبَاءِ كُورُونَا، وَأُصِبْنَا جَمِيعًا بِلَوْثَةٍ عَقْلِيَّةٍ مَعَ الْحَظْرِ الَّذِي فُرِضَ عَلَيْنَا، لَمْ يَسْتَدْعِ الْوَضْعُ سِوَى أَيَّامٍ مَعْدُودَةٍ لِيَنْفَجِرَ، ,حيث شعرت أن كل المساحات الفارغة في شقتي امتلأت بالكتب وبالأسلاك وبوزني وبصراخ الطفلة. ولأنني لم أكن في حال يساعدني على التفكير في حل، استمر الوضع لسنوات، وازدادت المساحة ضيقا مع ولادة الطفل الثاني، وحين أصيبت رئة العالم بوباء كورونا، وأصبنا جميعا بلوثة عقلية مع الحظر الذي فرض علينا، لم يستدع الوضع سوى أيام معدودة لينفجر، 
