filename,cleaned_sentence,unvowel_sentence
WikiNewsTruth.txt,"# ثَقَافَةٌ
فِيلْمُ جَاذِبِيَّةْ يَتَصَدَّرُ تَرْشِيحَاتِ جَوَائِزِ الْأَكَادِيمِيَّةِ الْبِرِيطَانِيَّةِ لِفُنُونِ الْفِيلْمِ وَالتِّلِفِزْيُونِ
أَعْلَنَتِ الْأَكَادِيمِيَّةُ الْبِرِيطَانِيَّةُ لِفُنُونِ الْفِيلْمِ وَالتِّلِفِزْيُونِ عَنْ تَرْشِيحَاتِهَا الرَّسْمِيَّةِ لِحَفْلِهَا السَّابِعِ وَالسِّتِّينَ وَتَصَدَّرَ هَذِهِ التَّرْشِيحَاتِ فِيلْمُ جَاذِبِيَّةْ إِذْ حَصَلَ عَلَى 11 تَرْشِيحًا وَجَاءَ بَعْدَهُ فِيلْمُ 12 سَنَةً عَبْدًا، وَفِيلْمُ الْكِفَاحِ الْأَمْرِيكِيِّ بِ 10 تَرْشِيحَاتٍ لِكُلٍّ مِنْهُمَا. وَسَيُقَامُ حَفْلُ تَوْزِيعِ الْجَوَائِزِ عَلَى الْفَائِزِينَ فِي 16 فِبْرَايِرَ 2014 فِي دَارِ الْأُوبِرَا الْمَلَكِيَّةِ فِي لَنْدَنْ.
","# ثقافة
فيلم جاذبية يتصدر ترشيحات جوائز الأكاديمية البريطانية لفنون الفيلم والتلفزيون
أعلنت الأكاديمية البريطانية لفنون الفيلم والتلفزيون عن ترشيحاتها الرسمية لحفلها السابع والستين وتصدر هذه الترشيحات فيلم جاذبية إذ حصل على 11 ترشيحا وجاء بعده فيلم 12 سنة عبدا، وفيلم الكفاح الأمريكي ب 10 ترشيحات لكل منهما. وسيقام حفل توزيع الجوائز على الفائزين في 16 فبراير 2014 في دار الأوبرا الملكية في لندن.
"
WikiNewsTruth.txt,"فَقَدْ تَحَدَّثَ زَكَرِيَّا مِنَ الْمَغْرِبِ فِي مُحَاضَرَتِهِ "" اسْتِرَاتِيجِيَّةٌ لِلْكَشْفِ التَّدْرِيجِيِّ فِي وِيكِيبِيدْيَا "" عَنِ الْمَشَاكِلِ الَّتِي يُعَانِي مِنْهَا الْمُسَاهِمُونَ الْجُدُدُ عَلَى وِيكِيبِيدْيَا، وَالتَّعْقِيدَاتِ الَّتِي تَمْتَلِئُ بِهَا وَاجِهَةُ الْمُسْتَخْدِمِينَ فِي الْمَوْسُوعَةِ، وَنَاقَشَ مَعَ الْحُضُورِ إِمْكَانِيَّاتِ حَلِّ هَذِهِ الْمَشَاكِلِ وَالْوَسَائِلَ الْمُمْكِنَةَ لِجَعْلِ وَاجِهَةِ مَوَاقِعِ الْوِيكِي أَكْثَرَ بَسَاطَةً وَسَلَاسَةً. ","فقد تحدث زكريا من المغرب في محاضرته "" استراتيجية للكشف التدريجي في ويكيبيديا "" عن المشاكل التي يعاني منها المساهمون الجدد على ويكيبيديا، والتعقيدات التي تمتلئ بها واجهة المستخدمين في الموسوعة، وناقش مع الحضور إمكانيات حل هذه المشاكل والوسائل الممكنة لجعل واجهة مواقع الويكي أكثر بساطة وسلاسة. "
WikiNewsTruth.txt,"مِنْ جِهَةٍ أُخْرَى، تَنَاوَلَتْ مُحَاضَرَةٌ مُشْتَرَكَةٌ لِثَلَاثَةِ مُسَاهِمِينَ آخَرِينَ التَّحَدِّيَاتِ الْمُتَعَدِّدَةَ الَّتِي تُوَاجِهُهَا وِيكِيبِيدْيَا الْعَرَبِيَّةُ، وَالْمَشَاكِلَ التِّقْنِيَّةَ الَّتِي يُعَانِي مِنْهَا الْمَوْقِعُ، وَأَعْقَبَ الْمُحَاضَرَةَ نِقَاشٌ مُسْتَفِيضٌ عَنِ الْحُلُولِ الْمُنَاسِبَةِ لِهَذِهِ الْمَشَاكِلِ، شَارَكَ فِيهِ حُضُورٌ مِنَ الْمُحَرِّرِينَ الْعَرَبِ وَغَيْرِ الْعَرَبِ. كَمَا تَنَاوَلَتْ مُحَاضَرَةٌ أُخْرَى سَيْرَ وَإِنْجَازَاتِ مَشْرُوعِ بَرْنَامَجِ وِيكِيبِيدْيَا لِلتَّعْلِيمِ فِي مِصْرَ وَمُجْمَلِ الْعَالَمِ الْعَرَبِيِّ.
","من جهة أخرى، تناولت محاضرة مشتركة لثلاثة مساهمين آخرين التحديات المتعددة التي تواجهها ويكيبيديا العربية، والمشاكل التقنية التي يعاني منها الموقع، وأعقب المحاضرة نقاش مستفيض عن الحلول المناسبة لهذه المشاكل، شارك فيه حضور من المحررين العرب وغير العرب. كما تناولت محاضرة أخرى سير وإنجازات مشروع برنامج ويكيبيديا للتعليم في مصر ومجمل العالم العربي.
"
WikiNewsTruth.txt,"وَفَاةُ الشَّاعِرِ السُّورِيِّ الْكَبِيرِ سُلَيْمَانَ الْعِيسَى
تُوُفِّيَ صَبَاحَ الْيَوْمِ فِي دِمَشْقَ الشَّاعِرُ السُّورِيُّ سُلَيْمَانُ الْعِيسَى عَنْ عُمْرِ 92 سَنَةً بَعْدَ أَنْ دَخَلَ الْمَشْفَى مُنْذُ أَيَّامٍ إِثْرَ تَدَهْوُرٍ فِي حَالَتِهِ الصِّحِّيَّةِ. وَأَصْدَرَ اتِّحَادُ الْكُتَّابِ الْعَرَبِ بَيَانًا نَعَى فِيهِ الشَّاعِرَ الْكَبِيرَ. وَسَوْفَ يُشَيَّعُ جُثْمَانُهُ مِنْ مَشْفَى الْأَسَدِ الْجَامِعِيِّ بِدِمَشْقَ، وَيُدْفَنُ فِي مَقْبَرَةِ الشَّيْخِ رَسْلَانَ.
","وفاة الشاعر السوري الكبير سليمان العيسى
توفي صباح اليوم في دمشق الشاعر السوري سليمان العيسى عن عمر 92 سنة بعد أن دخل المشفى منذ أيام إثر تدهور في حالته الصحية. وأصدر اتحاد الكتاب العرب بيانا نعى فيه الشاعر الكبير. وسوف يشيع جثمانه من مشفى الأسد الجامعي بدمشق، ويدفن في مقبرة الشيخ رسلان.
"
WikiNewsTruth.txt,"عَانَى سُلَيْمَانُ الْعِيسَى مِنْ مَرَضٍ عُضَالٍ فِي السَّنَوَاتِ الْمَاضِيَةِ، لَكِنَّهُ حَافَظَ عَلَى وَعْيِهِ حَتَّى آخِرِ دَقَائِقِ حَيَاتِهِ حَسَبَ مَا أَفَادَتْ زَوْجَتُهُ الدُّكْتُورَةُ مَلَكَةُ أَبْيَضَ، وَبَقِيَ مُهْتَمًّا بِمَا يَحْدُثُ حَوْلَهُ، وَلَوْ أَنَّهُ عَانَى مِنْ صُعُوبَةٍ فِي النُّطْقِ.
وَأَشَارَ بَيَانُ اتِّحَادِ الْكُتَّابِ الْعَرَبِ أَنَّ تَارِيخَ وَفَاةِ سُلَيْمَانَ الْعِيسَى يُصَادِفُ الذِّكْرَى الْخَامِسَةَ لِوَفَاةِ الشَّاعِرِ الْفِلَسْطِينِيِّ الْكَبِيرِ مَحْمُودِ دَرْوِيشٍ.
","عانى سليمان العيسى من مرض عضال في السنوات الماضية، لكنه حافظ على وعيه حتى آخر دقائق حياته حسب ما أفادت زوجته الدكتورة ملكة أبيض، وبقي مهتما بما يحدث حوله، ولو أنه عانى من صعوبة في النطق.
وأشار بيان اتحاد الكتاب العرب أن تاريخ وفاة سليمان العيسى يصادف الذكرى الخامسة لوفاة الشاعر الفلسطيني الكبير محمود درويش.
"
WikiNewsTruth.txt,وُلِدَ سُلَيْمَانُ الْعِيسَى فِي سَنَةِ 1921 فِي قَرْيَةِ النَّعِيرِيَّةِ فِي لِوَاءِ إِسْكَنْدِرُونْ وَدَرَسَ فِي الْقَرْيَةِ ثُمَّ فِي أَنْطَاكِيَةَ، وَتَرَكَ اللِّوَاءَ بَعْدَ سَلْخِهِ عَنْ سُورْيَا فِي سَنَةِ 1939، وَدَرَسَ الثَّانَوِيَّةَ فِي حَمَاةَ وَاللَّاذِقِيَّةِ ثُمَّ فِي مَدْرَسَةِ التَّجْهِيزِ الْأُولَى بِدِمَشْقَ حَيْثُ شَارَكَ فِي تَأْسِيسِ حِزْبِ الْبَعْثِ الْعَرَبِيِّ الِاشْتِرَاكِيِّ.,ولد سليمان العيسى في سنة 1921 في قرية النعيرية في لواء إسكندرون ودرس في القرية ثم في أنطاكية، وترك اللواء بعد سلخه عن سوريا في سنة 1939، ودرس الثانوية في حماة واللاذقية ثم في مدرسة التجهيز الأولى بدمشق حيث شارك في تأسيس حزب البعث العربي الاشتراكي.
WikiNewsTruth.txt,"ثُمَّ تَخَرَّجَ مِنْ دَارِ الْمُعَلِّمِينَ فِي بَغْدَادَ وَعَلَّمَ اللُّغَةَ الْعَرَبِيَّةَ فِي مَدَارِسِ حَلَبَ وَعَمِلَ مُوَجِّهًا لِلُّغَةِ الْعَرَبِيَّةِ فِي وِزَارَةِ التَّرْبِيَةِ السُّورِيَّةِ.
بَدَأَ سُلَيْمَانُ الْعِيسَى بِكِتَابَةِ الشِّعْرِ وَهُوَ فِي التَّاسِعَةِ مِنْ عُمْرِهِ، وَصَفَ فِيهِ مُعَانَاةَ أَهْلِهِ مِنَ الْفَلَّاحِينَ وَنَدَّدَ بِالِاسْتِعْمَارِ الْفَرَنْسِيِّ، وَهُوَ مِنْ أَهَمِّ الشُّعَرَاءِ الْعَرَبِ الْقَوْمِيِّينَ وَمِنْ أَكْبَرِ شُعَرَاءِ الْأَطْفَالِ، وَهُوَ مِنْ مُؤَسِّسِي اتِّحَادِ الْكُتَّابِ الْعَرَبِ فِي سَنَةِ 1969 فِي سُورْيَا.
","ثم تخرج من دار المعلمين في بغداد وعلم اللغة العربية في مدارس حلب وعمل موجها للغة العربية في وزارة التربية السورية.
بدأ سليمان العيسى بكتابة الشعر وهو في التاسعة من عمره، وصف فيه معاناة أهله من الفلاحين وندد بالاستعمار الفرنسي، وهو من أهم الشعراء العرب القوميين ومن أكبر شعراء الأطفال، وهو من مؤسسي اتحاد الكتاب العرب في سنة 1969 في سوريا.
"
WikiNewsTruth.txt,"عَدَا مُؤَلَّفَاتِهِ الشِّعْرِيَّةَ وَالنَّثْرِيَّةَ، عَمِلَ سُلَيْمَانُ الْعِيسَى فِي تَرْجَمَةِ الْأَعْمَالِ الْأَدَبِيَّةِ، حَيْثُ كَانَ يُجِيدُ الْفَرَنْسِيَّةَ وَالْإِنْكِلِيزِيَّةَ وَالتُّرْكِيَّةَ، وَتَشَارَكَ مَعَ زَوْجَتِهِ مَلَكَةَ أَبْيَضَ فِي تَرْجَمَةِ أَعْمَالِ أُدَبَاءَ جَزَائِرِيِّينَ أَنْتَجُوا بِالْفَرَنْسِيَّةِ.
","عدا مؤلفاته الشعرية والنثرية، عمل سليمان العيسى في ترجمة الأعمال الأدبية، حيث كان يجيد الفرنسية والإنكليزية والتركية، وتشارك مع زوجته ملكة أبيض في ترجمة أعمال أدباء جزائريين أنتجوا بالفرنسية.
"
WikiNewsTruth.txt,"الْخَلِيجِيُّونَ يَرْمُونَ مُعْظَمَ غِذَائِهِمْ فِي رَمَضَانَ فِي الْقُمَامَةِ
قَالَ رَئِيسُ جَمْعِيَّةِ حِمَايَةِ الْمُسْتَهْلِكِ السُّعُودِيَّةِ نَاصِرُ التُّوِيمِ أَنَّ الْمُسْتَهْلِكِينَ فِي الْمَمْلَكَةِ وَبُلْدَانِ الْخَلِيجِ الْعَرَبِيِّ يَرْمُونَ مَا بَيْنَ 50 وَ 70 مِنَ الْأَغْذِيَةِ الَّتِي يَشْتَرُونَهَا فِي النُّفَايَاتِ، وَذَلِكَ نَتِيجَةَ الشِّرَاءِ الْعَشْوَائِيِّ لِلسِّلَعِ الْغِذَائِيَّةِ. وَيُؤَدِّي هَذَا التَّصَرُّفُ إِلَى تَضَخُّمِ الْفَاتُورَةِ الْغِذَائِيَّةِ وَغَلَاءِ الْأَسْعَارِ فِي رَمَضَانَ.
","الخليجيون يرمون معظم غذائهم في رمضان في القمامة
قال رئيس جمعية حماية المستهلك السعودية ناصر التويم أن المستهلكين في المملكة وبلدان الخليج العربي يرمون ما بين 50 و 70 من الأغذية التي يشترونها في النفايات، وذلك نتيجة الشراء العشوائي للسلع الغذائية. ويؤدي هذا التصرف إلى تضخم الفاتورة الغذائية وغلاء الأسعار في رمضان.
"
WikiNewsTruth.txt,"وَأَضَافَ أَنَّ حُمَّى الِاسْتِهْلَاكِ تُعْطِي لِلتُّجَّارِ فُرْصَةَ اسْتِغْلَالِ الْمُسْتَهْلِكِ، وَالتَّقْلِيلُ مِنَ الِاسْتِهْلَاكِ وَإِبْلَاغُ الْجِهَاتِ الْمُخْتَصَّةِ عَنْ رَفْعِ الْأَسْعَارِ يُمْكِنُ أَنْ يُسَاهِمَ فِي حَلِّ الْمُشْكِلَةِ، مَعَ أَنَّهُ صَرَّحَ أَنَّ الْغَرَامَاتِ وَالْعُقُوبَاتِ بَاتَتْ قَدِيمَةً وَلَيْسَ لَهَا أَثَرٌ رَادِعٌ.
","وأضاف أن حمى الاستهلاك تعطي للتجار فرصة استغلال المستهلك، والتقليل من الاستهلاك وإبلاغ الجهات المختصة عن رفع الأسعار يمكن أن يساهم في حل المشكلة، مع أنه صرح أن الغرامات والعقوبات باتت قديمة وليس لها أثر رادع.
"
